timestamp,value,date
2025-06-01 04:17:23,46.3,2025-06-01
2025-06-01 08:17:54,45.2,2025-06-01
2025-06-01 07:59:40,85.5,2025-06-01
2025-06-01 10:37:19,64.3,2025-06-01
2025-06-01 16:41:12,70.1,2025-06-01
2025-06-01 11:59:50,2.6,2025-06-01
2025-06-01 05:48:09,43.1,2025-06-01
2025-06-01 20:04:12,95.5,2025-06-01
2025-06-01 09:36:56,85.7,2025-06-01
2025-06-01 17:52:01,12.0,2025-06-01
2025-06-01 01:21:08,21.1,2025-06-01
2025-06-01 01:18:22,63.8,2025-06-01
2025-06-01 09:15:57,40.3,2025-06-01
2025-06-01 21:57:38,83.3,2025-06-01
2025-06-01 01:11:35,28.3,2025-06-01
2025-06-01 19:16:51,77.6,2025-06-01
2025-06-01 12:03:33,98.1,2025-06-01
2025-06-01 01:53:23,92.2,2025-06-01
2025-06-01 14:23:38,84.2,2025-06-01
2025-06-01 07:47:04,30.7,2025-06-01
2025-06-01 21:46:47,29.4,2025-06-01
2025-06-01 19:15:10,19.6,2025-06-01
2025-06-01 13:13:26,57.8,2025-06-01
2025-06-01 04:42:21,15.7,2025-06-01
2025-06-01 08:49:58,87.4,2025-06-01
2025-06-01 15:52:19,46.5,2025-06-01
2025-06-01 10:19:09,90.9,2025-06-01
2025-06-01 20:14:47,2.5,2025-06-01
2025-06-01 09:33:25,58.7,2025-06-01
2025-06-01 16:28:17,71.0,2025-06-01
2025-06-01 01:56:11,78.8,2025-06-01
2025-06-01 17:50:33,28.4,2025-06-01
2025-06-01 17:20:59,74.5,2025-06-01
2025-06-01 02:36:08,40.1,2025-06-01
2025-06-01 13:36:19,47.8,2025-06-01
2025-06-01 04:00:52,41.1,2025-06-01
2025-06-01 15:40:41,68.4,2025-06-01
2025-06-01 13:45:36,52.5,2025-06-01
2025-06-01 18:51:11,76.2,2025-06-01
2025-06-01 08:46:38,86.1,2025-06-01
2025-06-01 07:16:36,59.3,2025-06-01
2025-06-01 16:23:57,6.4,2025-06-01
2025-06-01 07:50:31,45.7,2025-06-01
2025-06-01 08:27:44,91.0,2025-06-01
2025-06-01 08:14:41,83.2,2025-06-01
2025-06-01 02:00:15,87.5,2025-06-01
2025-06-01 16:41:18,75.0,2025-06-01
2025-06-01 14:42:11,46.3,2025-06-01
2025-06-01 16:03:04,88.7,2025-06-01
2025-06-01 14:59:44,54.4,2025-06-01
2025-06-01 01:31:44,59.0,2025-06-01
2025-06-01 02:28:46,0.1,2025-06-01
2025-06-01 15:51:56,6.9,2025-06-01
2025-06-01 09:40:51,19.4,2025-06-01
2025-06-01 03:39:16,71.1,2025-06-01
2025-06-01 17:06:37,7.9,2025-06-01
2025-06-01 17:57:01,99.1,2025-06-01
2025-06-01 13:12:44,67.0,2025-06-01
2025-06-01 10:22:52,10.8,2025-06-01
2025-06-01 08:58:22,76.9,2025-06-01
2025-06-01 04:33:45,80.7,2025-06-01
2025-06-01 08:58:40,97.0,2025-06-01
2025-06-01 09:26:44,30.1,2025-06-01
2025-06-01 22:21:19,27.0,2025-06-01
2025-06-01 03:22:29,88.2,2025-06-01
2025-06-01 19:16:51,54.2,2025-06-01
2025-06-01 18:11:27,14.8,2025-06-01
2025-06-01 16:10:12,63.4,2025-06-01
2025-06-01 05:04:14,19.0,2025-06-01
2025-06-01 21:07:48,70.0,2025-06-01
2025-06-01 03:50:05,90.9,2025-06-01
2025-06-01 09:08:08,49.5,2025-06-01
2025-06-01 07:19:23,85.5,2025-06-01
2025-06-01 01:49:05,57.3,2025-06-01
2025-06-01 04:49:26,0.7,2025-06-01
2025-06-01 12:25:52,64.4,2025-06-01
2025-06-01 12:32:05,12.5,2025-06-01
2025-06-01 08:57:50,87.1,2025-06-01
2025-06-01 19:46:14,5.4,2025-06-01
2025-06-01 21:50:32,41.3,2025-06-01
2025-06-01 07:36:55,72.0,2025-06-01
2025-06-01 09:03:45,15.9,2025-06-01
2025-06-01 10:13:14,38.9,2025-06-01
2025-06-01 19:39:39,66.9,2025-06-01
2025-06-01 03:54:19,70.1,2025-06-01
2025-06-01 04:12:10,71.1,2025-06-01
2025-06-01 10:01:40,60.1,2025-06-01
2025-06-01 14:28:33,10.0,2025-06-01
2025-06-01 22:45:07,34.8,2025-06-01
2025-06-01 12:42:16,1.7,2025-06-01
2025-06-01 02:23:57,80.7,2025-06-01
2025-06-01 14:38:13,87.1,2025-06-01
2025-06-01 11:19:29,32.3,2025-06-01
2025-06-01 12:28:20,79.6,2025-06-01
2025-06-01 09:41:51,84.3,2025-06-01
2025-06-01 11:29:19,49.0,2025-06-01
2025-06-01 14:48:30,83.9,2025-06-01
2025-06-01 22:59:10,23.9,2025-06-01
2025-06-01 16:16:02,54.3,2025-06-01
2025-06-01 11:40:32,63.8,2025-06-01
2025-06-01 07:17:44,17.6,2025-06-01
2025-06-01 01:28:43,66.2,2025-06-01
2025-06-01 03:55:36,70.9,2025-06-01
2025-06-01 06:34:37,81.0,2025-06-01
2025-06-01 09:26:17,98.1,2025-06-01
2025-06-01 19:45:57,75.2,2025-06-01
2025-06-01 02:10:37,41.7,2025-06-01
2025-06-01 20:00:24,1.1,2025-06-01
2025-06-01 08:26:28,15.4,2025-06-01
2025-06-01 04:30:39,85.0,2025-06-01
2025-06-01 10:07:52,56.1,2025-06-01
2025-06-01 20:35:14,21.3,2025-06-01
2025-06-01 04:57:38,57.0,2025-06-01
2025-06-01 03:51:20,38.9,2025-06-01
2025-06-01 05:25:15,40.8,2025-06-01
2025-06-01 03:00:53,91.1,2025-06-01
2025-06-01 10:29:54,61.7,2025-06-01
2025-06-01 01:20:32,11.7,2025-06-01
2025-06-01 18:02:25,99.3,2025-06-01
2025-06-01 18:18:16,65.5,2025-06-01
2025-06-01 21:32:05,8.6,2025-06-01
2025-06-01 16:01:29,45.6,2025-06-01
2025-06-01 15:59:44,79.2,2025-06-01
2025-06-01 17:18:26,99.8,2025-06-01
2025-06-01 20:37:06,11.8,2025-06-01
2025-06-01 08:00:43,23.8,2025-06-01
2025-06-01 13:49:20,60.7,2025-06-01
2025-06-01 09:13:52,67.5,2025-06-01
2025-06-01 06:21:33,98.4,2025-06-01
2025-06-01 19:03:38,61.1,2025-06-01
2025-06-01 02:48:20,38.2,2025-06-01
2025-06-01 11:48:46,9.4,2025-06-01
2025-06-01 21:00:36,68.4,2025-06-01
2025-06-01 18:52:27,24.8,2025-06-01
2025-06-01 07:32:38,44.3,2025-06-01
2025-06-01 00:49:09,13.2,2025-06-01
2025-06-01 19:47:34,57.7,2025-06-01
2025-06-01 20:00:12,59.5,2025-06-01
2025-06-01 05:48:49,17.5,2025-06-01
2025-06-01 08:15:51,87.1,2025-06-01
2025-06-01 06:05:31,38.8,2025-06-01
2025-06-01 18:43:15,46.7,2025-06-01
2025-06-01 13:45:27,89.3,2025-06-01
2025-06-01 14:56:50,28.4,2025-06-01
2025-06-01 04:06:32,43.4,2025-06-01
2025-06-01 20:37:47,20.4,2025-06-01
2025-06-01 01:30:35,66.3,2025-06-01
2025-06-01 03:05:12,99.8,2025-06-01
2025-06-01 19:11:31,1.0,2025-06-01
2025-06-01 23:43:31,81.6,2025-06-01
2025-06-01 02:36:28,27.9,2025-06-01
2025-06-01 08:29:42,59.5,2025-06-01
2025-06-01 04:00:47,35.7,2025-06-01
2025-06-01 23:27:13,13.2,2025-06-01
2025-06-01 20:55:22,3.8,2025-06-01
2025-06-01 20:19:26,55.9,2025-06-01
2025-06-01 02:06:19,74.4,2025-06-01
2025-06-01 10:29:35,82.5,2025-06-01
2025-06-01 15:11:11,27.3,2025-06-01
2025-06-01 08:53:32,13.9,2025-06-01
2025-06-01 06:07:33,87.5,2025-06-01
2025-06-01 13:58:09,64.3,2025-06-01
2025-06-01 08:53:52,71.4,2025-06-01
